exams,family,friends,internship,sleep,trauma,relationships,disappointment,sadness,neutral,disapproval,annoyance,realization,remorse,embarrassment,approval,optimism,nervousness,love,anger,disgust,joy,desire,grief,admiration,confusion,relief,surprise,fear,caring,excitement,curiosity,amusement,gratitude,pride,age,gender_male,gender_female,gender_non_binary,gender_prefer_not_to_say,ethnicity_black_or_african_american,ethnicity_hispanic_or_latino,ethnicity_white,ethnicity_native_american,ethnicity_pacific_islander,ethnicity_middle_eastern,ethnicity_south_asian,ethnicity_east_asian,ethnicity_southeast_asian,ethnicity_latino,education_high_school,education_bachelor,education_master,education_phd,employment_employed,employment_student,employment_unemployed,employment_self-employed,ratio,feedback
1,1,1,1,1,0,0,0.2996894935397073,0.5636311588411236,0.755788760936231,0.2944753345412626,0.30252915742549613,0.5532659648907938,0.1830994470896644,0.9701544748826597,0.7934196315676196,0.6000991591776131,0.7554844270517086,0.630350436247405,0.7378322595399669,0.489716576286354,0.5361531562380881,0.1982190747569933,0.7933441975933716,0.3283351279040311,0.2669041262564452,0.2823283202095763,0.33077657164897,0.612004144203931,0.45699722789485486,0.3316080256368339,0.6124137663002117,0.7193750666095167,0.8027288764386592,0.9273065920580528,47,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,25,4
0,1,1,1,1,1,0,0.8477647507100762,0.40255231444241535,0.03638517162455712,0.9144565060925472,0.06418898520219773,0.6680795167338723,0.5209328144665928,0.6192624977206073,0.684945492510787,0.656784395038265,0.6833277059693609,0.6795707787861107,0.4314615839375626,0.5152482726711688,0.6749712672454712,0.3599446585118281,0.9495327893458217,0.8742382320639049,0.1559601046774024,0.38671493692046655,0.3255976768345267,0.32285277885353236,0.6181393333455971,0.6129649620862312,0.21911799148742472,0.1367740503186884,0.04341991245692389,0.49646964692998996,36,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,75,3
0,1,1,0,1,1,0,0.41678151859309076,0.9001870702892586,0.5110452102236239,0.6131565628082462,0.47363647032027656,0.3376617036766749,0.03140659405153412,0.09401613821670085,0.9560872971913423,0.10194962900337678,0.04589232766015461,0.8084666580171138,0.13416065807237043,0.3078985860426606,0.21754510925643245,0.014928510889253621,0.8826612586838775,0.5497516766777969,0.5977523089261353,0.08671431716657185,0.34248792621378243,0.678343817113971,0.8126129706198514,0.5179177054788828,0.3333576731525302,0.9470647044959886,0.2104386856776509,0.9197693036674818,40,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,25,5
0,0,0,1,1,1,0,0.478921932809518,0.3017026360797126,0.8909221746476963,0.5467394591597671,0.715035285605284,0.623561372944022,0.185370307665645,0.44298575276210594,0.6206853548287008,0.9479111724327987,0.2345764743811477,0.42560368988869246,0.22189419711102032,0.05289718787304731,0.05669502424057937,0.23007593672112858,0.48851792061418664,0.7774868065268811,0.040663214936007774,0.06452923301530322,0.5985511810906944,0.6727131776414478,0.5932677844719065,0.6621621037775719,0.7218216261968523,0.06814073789654496,0.8682539377473782,0.30647453624552656,64,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,100,2
0,0,1,1,0,0,1,0.9724637794409748,0.009879643184053544,0.8023186866489489,0.7690612730943555,0.23731469918908132,0.9383482501801609,0.4161241838997607,0.3657427316866685,0.21029113613927186,0.3221561129656162,0.16325712571364526,0.7713485113795943,0.33871138116742583,0.42057662931609885,0.6360864838318283,0.575301474315959,0.8423529056049203,0.40301360921635,0.7131828810248728,0.5198130401036182,0.3982226417677537,0.6000819732733367,0.6480601986388356,0.23096801742426665,0.5504706006236422,0.976294428067982,0.04257798140751812,0.31116834083709854,22,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,25,2
0,0,1,0,1,0,0,0.2843939935349089,0.4207231967481845,0.4807441430769728,0.46783621940826225,0.9518982554140283,0.7881107043365574,0.1733192655352006,0.8941478038025744,0.6304178478193052,0.24536260660257136,0.07537605072087206,0.7219850144929438,0.23110042574243894,0.5863796675012684,0.06327037413090031,0.5561510277610401,0.7817602475772069,0.6283663762307782,0.3278341398189568,0.058591919965466865,0.21864635350164296,0.3422640126678864,0.9695765634698162,0.5324795884623945,0.7085565280829977,0.9045830093473889,0.14509493336124468,0.8121631892548641,61,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,50,4
1,1,1,1,0,1,1,0.42781785040037945,0.6731866887921759,0.6784304284843439,0.4531966176143253,0.5655598860524919,0.4065572995388781,0.4368110988438607,0.40911246112346555,0.814610957454715,0.5828401270334759,0.9045478949438357,0.7681035528137831,0.9425269496836073,0.8321866708755691,0.9284836001393972,0.15136362801213488,0.5390334937970117,0.2143332547296839,0.5425945359771795,0.1992563051649664,0.8592463176048233,0.7916720771045364,0.5844144939856571,0.9438099657190558,0.9483873180182889,0.4886424907318204,0.18935743972247465,0.9327861256399315,60,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,75,4
0,0,0,1,1,1,1,0.9310182427618099,0.14428078183443327,0.41556456467736913,0.16708425325098597,0.34477670752291834,0.22806200457218218,0.6063524514120252,0.5007265642325511,0.21947552781709967,0.4347415071708358,0.8670166394459151,0.5521125309431728,0.5066030419877408,0.27603051255735345,0.03806744577535959,0.5700957483673481,0.45136445797435687,0.9700251594478713,0.029486495552296654,0.7851135423973283,0.8886854745139104,0.7741752454827475,0.2408742093348566,0.6588899868869996,0.0011897439644827923,0.9937574323884912,0.5931663344548952,0.5802934000844706,52,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,25,3
1,0,0,1,0,0,1,0.02622975948532813,0.4472818738344496,0.44790418987196745,0.8570851526408242,0.5310661058154929,0.9435983235270916,0.0351015350696845,0.5149291058985255,0.8587293508384433,0.3103629857436956,0.6853754570806257,0.0642424811310216,0.8014936028388602,0.92295893721561,0.4782103195666725,0.06044206100734528,0.6538512216481868,0.44472029814790737,0.17945302690984588,0.6214881132877514,0.020152107637051997,0.8907674333381047,0.9177596907110845,0.04423887031913176,0.0891840737329862,0.13463876877930103,0.25521916199198613,0.7044173214602998,58,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,100,2
0,1,0,1,1,0,0,0.0005178304925803623,0.11608452647018241,0.4552500610981466,0.27646152839388094,0.38504489705900247,0.9345012563663541,0.042322369450912944,0.8312153899967388,0.31549978074014473,0.1277549885709086,0.657890658169578,0.2616888276439975,0.26278525792263774,0.6218511784708122,0.1971109309597262,0.5133957466779412,0.6233101063211303,0.1759944969697398,0.7377955091958698,0.3580238463153895,0.06110635043290413,0.31517025617463734,0.7438502597628268,0.3738233994474828,0.033273429403059884,0.8580618099320527,0.6325074699517688,0.37284720687240436,33,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,25,1
1,1,1,1,1,1,0,0.27182845637479525,0.7425673618158933,0.7538031681224227,0.43564176862511605,0.6720103177032704,0.2665117420556231,0.009737723779386198,0.6116997674828455,0.44942404172513695,0.48743676076430487,0.7489598585530736,0.43781005471196843,0.448167153458073,0.029980815245557402,0.3179855697925664,0.07436424929341034,0.6286108466838064,0.8073809198764254,0.08606849396779559,0.8121311514549492,0.7121654716039014,0.9147323679991283,0.26366943139186894,0.4078010639463472,0.8969200600019358,0.4568841773910446,0.468456817238573,0.2933092643958394,58,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,50,1
0,0,0,0,1,0,1,0.6110015919506604,0.6263945983801665,0.6574876815937255,0.5733681093909397,0.7848789914668937,0.022042129985832326,0.2240670694146042,0.9009159679063795,0.3704840912028222,0.12595888218575657,0.23815845167663152,0.9722018352429335,0.029465841958286276,0.02482185806456738,0.11793772606870223,0.9057851402060251,0.32956682358242406,0.17612724073522057,0.2274239735902679,0.15827723012578598,0.42669760710677107,0.3257017013690513,0.08198707063380573,0.5135905625247088,0.0632558779963801,0.6832751126116952,0.4481951215422608,0.32366936479512964,20,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,50,1
1,1,0,1,1,1,1,0.5641672497205362,0.7915768481436601,0.7172747582137043,0.9928997463319528,0.9633095992924359,0.5267340982081455,0.052001999456278036,0.15388023377159266,0.11016556921804765,0.5637995351812195,0.3877210819317545,0.1727737820969114,0.2264251903583493,0.5346094428485179,0.2706489535106974,0.3901887562444899,0.36353206447664776,0.11897578961561284,0.25875605215214414,0.6695602840860284,0.7120836189129004,0.15021292031839417,0.47093210408314634,0.499284379295039,0.6551610892494019,0.22162605072609587,0.3804028870583879,0.31875196990940247,24,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,75,1
0,0,1,1,1,0,1,0.7875448692868628,0.5440660613165952,0.5286084874116392,0.4636557790158734,0.907228763251559,0.6034218447726317,0.6602823330267318,0.5060633670657795,0.6040252467870696,0.9412792573121835,0.13954482567709026,0.871617956621282,0.670770657930373,0.5542294557329616,0.8065159382278025,0.49522388360836567,0.0589403767580825,0.8918566003425777,0.5141465030832266,0.7029997617496377,0.5526689765214985,0.4056970061537529,0.7557458881575789,0.18066709021064864,0.6031396245901184,0.9500472157475529,0.11504440300455665,0.41300982135084596,38,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,25,5
0,1,0,0,0,0,1,0.9465567149275012,0.44012057429754536,0.0047054929629111175,0.9957755353265071,0.8089077061255314,0.15458464754321743,0.8541206881408562,0.0006577622701183783,0.5491688320548052,0.27747727375054876,0.9635448360369715,0.19273125645808942,0.1832031870735964,0.7405676770385271,0.1174344629546723,0.8222971888759675,0.9395953112846522,0.14780649136016433,0.6409839862138228,0.5238728142183109,0.7363003935341469,0.389156378521168,0.2747529975732038,0.49428672800922724,0.3148508125901196,0.9711075482260896,0.526158488418201,0.4981576827737142,20,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,25,3
1,0,1,1,0,1,1,0.7881140396519521,0.9112209234907334,0.2633594359609429,0.7637997546072207,0.24506343617647974,0.4688600686519152,0.5558042343501906,0.5000151663889602,0.00749889915267854,0.6771665422096379,0.20589912593375692,0.5853299886535781,0.691325637025691,0.8836562680537913,0.2906734974857744,0.9783380643935711,0.8876022067855224,0.8501886981328748,0.6997961080379629,0.22429413139776266,0.7243052684231402,0.9549220009186254,0.6382078449357232,0.1647931985262211,0.2325100109041769,0.9343652070270794,0.7744750168724349,0.6150957589007793,60,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,25,2
1,0,1,0,0,1,0,0.1130234594861782,0.9877703009435793,0.5467397741028753,0.9767432517261312,0.8939606025730531,0.18308399889606808,0.8948331252975895,0.8855168920141837,0.6782701288882614,0.13282993458842385,0.6172820891598703,0.7185612417411501,0.11436310637725422,0.5888283141360194,0.47434053107826823,0.5003526698492583,0.4862158780620921,0.16366464854342255,0.29580749014458885,0.7543327502812611,0.21267251719584446,0.614989046107108,0.4452355423686196,0.0800714831547531,0.7451506506685991,0.4947726884140933,0.5019716453436862,0.4691182504116713,20,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,75,5
1,1,1,1,0,1,0,0.11085126094903242,0.0990926459515068,0.8842218900767486,0.15218641611383,0.47333153817603935,0.2302925505214759,0.5752144654132976,0.7188595546034797,0.2445090205658278,0.9308927786432798,0.2609945883029149,0.8769086195110545,0.6295170276706132,0.5258365693364481,0.9603956160383225,0.9772432817641262,0.9992364723595611,0.15546617489622827,0.6279722713345637,0.5690731820915048,0.3278266233588908,0.1816849129911784,0.17000659245523597,0.731078510126966,0.9211337225939707,0.3596792918314382,0.1778182854507535,0.775370090942575,32,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,75,2
1,1,1,1,0,0,0,0.37265892392607625,0.30477349924697983,0.4039596526264063,0.16248941178506315,0.39506282428081296,0.05628749064009686,0.7867120636510463,0.13137818883711738,0.26127486853333626,0.5136813066369152,0.9104415167342594,0.6709444798082157,0.06350097104037411,0.6451455220119148,0.9532118849690725,0.45948599472930773,0.6396755624063862,0.5890920489778017,0.10425759436560056,0.0671702740607476,0.027038352408150557,0.36422460887476804,0.03592662906254063,0.6504382421125681,0.6907447545553349,0.6302073103861235,0.07152374890486735,0.34998036010703304,55,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,1
1,0,1,1,0,0,1,0.5672598450300852,0.9859725485421587,0.21438127698677356,0.0918994008760533,0.8472877060587642,0.07357291090471363,0.21016208201327724,0.6067558523293259,0.7055147833778737,0.9875290895980308,0.9804829071195421,0.14631029042928456,0.05126001362877053,0.8634990543833636,0.6757658223594611,0.13670441505099695,0.326051729573257,0.736050782703529,0.6307453770685753,0.476570289305557,0.03168354045971988,0.5748026932918281,0.4765151103713513,0.4794979134358911,0.5810514121418777,0.8649622171533786,0.6067291596126819,0.5727429995369395,52,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,25,1
0,0,0,1,1,0,0,0.3659879839072657,0.5685195889650251,0.6075619809152439,0.060476047608628014,0.7216963606605996,0.7472386100655446,0.6074248273800443,0.8891041687862049,0.5435945580115118,0.2905726849460094,0.5684627635268427,0.8956588612041972,0.29544553775455895,0.0636496786454731,0.8539413235430164,0.467562714654858,0.9918110027636052,0.15496168353466178,0.5045568011178007,0.6077018327234507,0.7337725016569978,0.7026747815147691,0.9511136250049695,0.8855495649698256,0.44066524866730694,0.7108461282708225,0.7817949280069444,0.6444446255204427,53,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,50,3
1,1,0,1,1,0,1,0.5044467215569245,0.8686942507210528,0.77310853747645,0.6535100964258034,0.09246044156122091,0.4469844267452444,0.06303949183194102,0.14188514080825587,0.0030140207884485903,0.15134064375769407,0.4847242701846791,0.9558538199779665,0.6940622599137751,0.6849712240855386,0.657582992588002,0.17343759692882355,0.6305937643217505,0.36543098596014567,0.17861118923733388,0.871474893226637,0.721007783979786,0.40910370611649627,0.435389909724479,0.2578477510652861,0.9458370469604168,0.4278602538948538,0.18454609125982546,0.2382221496318867,45,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,50,1
0,1,1,0,1,0,1,0.7039295035299609,0.4029526091828428,0.09598417337633447,0.3355674709431208,0.03241912876497455,0.8474034135617217,0.29183456863275825,0.37928880600140824,0.7197576046730004,0.4463412371428175,0.5818977318402978,0.21895433146342802,0.4345562451003334,0.08517048955477047,0.7289061054690217,0.8851243600950841,0.780718222519718,0.3456003058599757,0.8770478928279805,0.5677529850942193,0.5142247956103427,0.7683200064205622,0.8839088756986144,0.650557123551575,0.30700355131614143,0.35972961408729676,0.9307420764651454,0.7515669371093773,53,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,75,3
1,1,0,0,0,1,0,0.2780929963755431,0.12656530859716808,0.3266954902468543,0.54532142942366,0.6161766205974495,0.4212738141765934,0.8491165450606437,0.7260803806024784,0.4476700561766854,0.0015348276735213107,0.38015447948622216,0.6718565755963489,0.5648747200302972,0.44118456676025153,0.15296922523522938,0.19946917724995017,0.8043406613446247,0.7594687549127114,0.6850108561319979,0.5302259087193631,0.07145859396593901,0.291292397192609,0.5631491308105543,0.1647955876393713,0.9847107091237274,0.5533811273344315,0.9093613493663593,0.6543177693722532,39,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,50,3
1,1,0,1,1,1,1,0.7806949582286138,0.6557960670249972,0.19397060970886726,0.5468547167115341,0.003133293275979443,0.724939449103671,0.4871211287812276,0.19581237593106382,0.7350953036729795,0.9278908068051068,0.7650132927479838,0.8955320961989304,0.2762656366440547,0.8453884089855007,0.966375353211287,0.6808425894342424,0.1299336160669916,0.8929837012566321,0.6252663244092246,0.5066301715306764,0.3189394735111377,0.7038774810266063,0.05248741946033608,0.5453106407147104,0.45257977844193875,0.48748405784111126,0.2878286074118612,0.8281833152222208,35,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,25,4
0,0,1,0,1,1,1,0.15755138268652158,0.07356275838905568,0.2760524712296498,0.8244408625793238,0.03447980945558615,0.4913356078728893,0.6709798545243711,0.22143342310905478,0.7305856489488622,0.9406671894223984,0.8498916579568773,0.8067978114803636,0.2094767082691784,0.4798283073912901,0.8847733301194676,0.1676381397443809,0.3521198922296025,0.5308835242113223,0.4136075721961029,0.08294203670130051,0.6336598889923808,0.815269704201602,0.5358666001803742,0.5418846031083826,0.3526703495796458,0.2988720468741237,0.4276078130850204,0.6404534318970833,56,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,50,1
